17
#n	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F17	F18	
126	94	0	0	0	0	87	7	787	310	30.32258065	0.238095238	0	21	3	0	0	C2
64	46	0	0	9	3	0	46	742	388	11.8556701	0.46875	0	18	0	0	0	C1
40	14	0	0	72	0	0	14	767	179	7.82122905	0.75	38	28	3	0	0	C3
131	16	0	0	14	2	0	16	687	483	3.3126294	0.229007634	0	23	0	0	0	C2
126	32	0	0	15	1	0	32	862	560	5.714285714	0.238095238	38	30	3	0	0	C4
95	85	12	0	1	0	0	85	856	339	25.07374631	0.315789474	38	30	3	0	0	C4
67	3	0	0	0	0	0	3	191	173	1.734104046	0.447761194	45	27	0	0	0	C3
24	2	0	0	2	0	0	2	112	86	2.325581395	1.25	40	20	0	0	0	C2
81	34	0	0	42	16	0	34	907	329	10.3343465	0.37037037	37	20	1	0	0	C2
117	52	0	3	65	0	11	41	1082	326	15.95092025	0.256410256	129	22	3	0	0	C2
121	6	0	0	0	0	1	5	461	426	1.408450704	0.247933884	0	16	0	0	1	C1
201	30	0	0	61	3	2	28	1231	611	4.909983633	0.149253731	104	40	3	0	0	C4
127	27	0	0	10	0	3	24	663	434	6.221198157	0.236220472	0	16	0	0	1	C1
117	28	0	0	2	2	0	28	555	363	7.713498623	0.256410256	11	14	3	0	0	C1
179	126	42	0	87	0	93	33	1849	577	21.83708839	0.167597765	129	37	3	0	0	C4
112	21	0	0	50	5	3	18	863	365	5.753424658	0.267857143	86	13	0	0	0	C1
22	0	0	1	0	0	0	0	50	50	0	1.363636364	15	12	3	0	0	C1
70	13	0	0	0	0	0	13	286	208	6.25	0.428571429	188	18	0	0	0	C1
85	18	0	0	2	1	0	18	425	298	6.040268456	0.352941176	136	20	3	0	0	C2
101	0	0	0	0	0	0	0	228	228	0	0.297029703	0	10	1	0	0	C1
33	2	0	0	0	0	0	0	64	64	3.125	0.909090909	0	10	1	0	0	C1
118	62	0	0	26	0	0	62	886	332	18.6746988	0.254237288	0	18	0	0	0	C1
15	4	0	0	0	0	3	1	77	56	7.142857143	2	252	25	1	0	0	C3
44	4	0	0	0	0	1	3	367	344	1.162790698	0.681818182	327	19	1	0	0	C1
132	23	0	0	0	0	0	47	650	368	6.25	0.227272727	327	19	1	0	0	C1
110	38	0	0	9	5	0	38	718	402	9.452736318	0.272727273	144	20	0	0	0	C2
136	15	0	14	9	0	1	14	472	320	4.6875	0.220588235	327	19	1	0	0	C1
74	49	0	0	21	0	18	31	689	266	18.42105263	0.405405405	158	27	0	0	1	C3
103	2	0	0	0	0	0	2	273	261	0.766283525	0.291262136	11	27	0	0	0	C3
32	3	0	0	0	0	0	3	98	80	3.75	0.9375	48	27	0	0	0	C3
49	24	0	0	0	0	0	24	482	338	7.100591716	0.612244898	47	16	1	0	0	C1
10	7	0	0	35	0	0	7	331	44	15.90909091	3	39	26	0	0	0	C3
103	34	0	8	242	0	0	34	2310	412	8.252427184	0.291262136	39	26	0	0	0	C3
67	2	0	1	0	0	1	1	171	160	1.25	0.447761194	142	50	0	0	0	C4
21	3	0	0	37	0	1	2	350	74	4.054054054	1.428571429	307	26	1	0	0	C3
75	4	0	0	7	0	0	4	308	235	1.70212766	0.4	55	21	0	0	1	C2
35	3	0	0	2	0	0	3	140	108	2.777777778	0.857142857	195	22	0	0	1	C2
95	26	0	0	50	0	2	24	827	323	8.049535604	0.315789474	176	27	1	0	1	C3
166	1	0	0	1	1	1	0	446	429	0.233100233	0.180722892	0	18	1	0	1	C1
124	7	0	0	14	0	0	7	470	330	2.121212121	0.241935484	0	18	1	0	1	C1
209	56	0	0	16	0	1	55	1165	718	7.799442897	0.14354067	0	18	1	0	1	C1
206	52	0	0	205	1	0	52	2546	794	6.549118388	0.145631068	0	22	1	0	1	C2
148	33	0	9	3	2	2	31	658	431	7.656612529	0.202702703	0	2	2	0	0	C1
42	23	0	0	0	1	0	23	254	111	20.72072072	0.714285714	86	14	0	0	0	C1
93	42	0	0	207	0	0	42	2065	364	11.53846154	0.322580645	86	14	0	0	0	C1
76	47	1	16	0	0	2	45	616	336	13.98809524	0.394736842	39	23	0	0	0	C2
157	40	0	0	8	1	0	40	968	667	5.997001499	0.191082803	130	25	0	0	1	C3
50	8	0	0	0	0	0	8	204	156	5.128205128	0.6	135	15	1	0	0	C1
41	7	0	0	0	1	0	7	211	164	4.268292683	0.731707317	55	16	1	0	0	C1
